consensus_section,consensus_text,source_participants,representation_type,paragraph_number
tldr,Dedicated teams initially to build capacity and establish standards,Pa52wwkew,specific_detail_from_few,1
tldr,Followed by integration into everyone's responsibilities,P8wgqcuub;Pasy-zppz;Piid_rtgn;Puc8qnfbg,majority_synthesis,1
tldr,Through performance frameworks cultural change and standardized measurement,Pa52wwkew;Piid_rtgn,balanced_compromise,1
core_challenge,Responsibility is diffused without clear mechanisms for implementation,Pa52wwkew;Pbh-u6glt,majority_synthesis,1
core_challenge,While participants agree everyone should ultimately be responsible,P8wgqcuub;Pasy-zppz;Piid_rtgn;Pbh-u6glt;Puc8qnfbg,unanimous,1
core_challenge,This creates accountability gaps in practice,Pa52wwkew;Piid_rtgn,balanced_compromise,1
current_state,Sustainability efforts lack coordination with fragmented approaches,Pa52wwkew,specific_detail_from_few,1
current_state,No standardized framework for measurement or reporting,Pa52wwkew,specific_detail_from_few,1
current_state,Management prioritizes financial metrics over environmental ones,Pa52wwkew,specific_detail_from_few,1
current_state,Individual contributors lack clear guidance on sustainable practices,Pbh-u6glt,specific_detail_from_few,1
what_needed,Dedicated sustainability teams should launch organizational efforts,Pa52wwkew,specific_detail_from_few,1
what_needed,Teams gather information establish workflows create measurement frameworks,Pa52wwkew,specific_detail_from_few,1
what_needed,Build capacity and spread knowledge until embedded in culture,Pa52wwkew;P8wgqcuub,balanced_compromise,1
what_needed,Sustainability metrics integrated into senior leadership KPIs,Piid_rtgn,specific_detail_from_few,1
what_needed,Legal incentives needed to shift management mindset,Pa52wwkew,specific_detail_from_few,1
what_needed,Open standardized frameworks for measuring and reporting,Pa52wwkew,specific_detail_from_few,1
practical_approaches,Start conversations in teams about sustainability trade-offs in code reviews,P8wgqcuub,specific_detail_from_few,1
practical_approaches,Use initial dedicated team successes as examples to spread practices,Pa52wwkew,specific_detail_from_few,1
practical_approaches,Incorporate green targets into existing performance frameworks,Piid_rtgn,specific_detail_from_few,1
path_forward,Begin with focused teams to establish foundation and tools,Pa52wwkew,specific_detail_from_few,1
path_forward,Transition toward distributed responsibility once cultural shift achieved,Pa52wwkew;P8wgqcuub,balanced_compromise,1
areas_agreement,Responsibility should ultimately be distributed across all roles,P8wgqcuub;Pasy-zppz;Piid_rtgn;Pbh-u6glt;Puc8qnfbg,unanimous,1
areas_agreement,Requires foundational work first,Pa52wwkew;P8wgqcuub;Pbh-u6glt,majority_synthesis,1
areas_agreement,Current fragmentation blocks progress,Pa52wwkew,specific_detail_from_few,1
areas_agreement,Standardized measurement frameworks are essential,Pa52wwkew,specific_detail_from_few,1
areas_agreement,Management mindset change necessary driven by legal incentives and KPIs,Pa52wwkew;Piid_rtgn,balanced_compromise,1
areas_agreement,Dedicated roles risk tokenism if permanent but valuable for kickstarting,Pa52wwkew;Piid_rtgn,balanced_compromise,1
areas_agreement,Sustainability integrated into daily work like code reviews and design,P8wgqcuub,specific_detail_from_few,1
areas_agreement,Becoming part of core organizational culture not separate initiatives,P8wgqcuub;Pa52wwkew,balanced_compromise,1
areas_disagreement,Some emphasize immediate integration to avoid friction of dedicated teams,Pasy-zppz;Piid_rtgn,minority_acknowledged,1
areas_disagreement,Separate roles lead to go speak to our green guy dynamics,Piid_rtgn,minority_acknowledged,1
areas_disagreement,Others stress necessity of dedicated teams initially,Pa52wwkew,minority_acknowledged,1
areas_disagreement,To establish expertise tools and workflows before broader distribution,Pa52wwkew,minority_acknowledged,1
areas_disagreement,Some emphasize individual actions and team-level cultural shifts,P8wgqcuub;Puc8qnfbg,minority_acknowledged,1
areas_disagreement,Others focus on executive accountability through KPIs and regulatory pressure,Piid_rtgn;Pa52wwkew,minority_acknowledged,1
conflicting_positions,Some warn separate sustainability roles cause tokenistic responses,Piid_rtgn;Pasy-zppz,minority_acknowledged,1
conflicting_positions,Reduces everyone else's engagement advocating immediate integration,Piid_rtgn;Pasy-zppz,minority_acknowledged,1
conflicting_positions,Others argue dedicated teams essential prerequisites to build capacity,Pa52wwkew,minority_acknowledged,1
conflicting_positions,May represent different organizational contexts,Pa52wwkew;Piid_rtgn;Pasy-zppz,balanced_compromise,1
conflicting_positions,Whether dedicated teams help or hinder depends on structure and transition,Pa52wwkew,balanced_compromise,1
